Region,CarPer1000,Radius,Population,Latitude,Longitude,MMHI,Poverty,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,Unemployed
Alabama,"1,030",3.77,4858979,32.806671,-86.79113,44509,0.178,0.24,0.09,0.11,0.27,0.13,0.15,0.06
Alaska,960,43,738432,61.370716,-152.404419,75112,0.119,0.28,0.1,0.14,0.25,0.12,0.11,0.064
Arizona,660,5.2,6828065,33.729759,-111.431221,52248,0.212,0.25,0.09,0.12,0.27,0.11,0.15,0.063
Arkansas,700,5.01,2978204,34.969704,-92.373123,42798,0.184,0.26,0.09,0.12,0.24,0.14,0.15,0.052
California,840,9.44,39144818,36.116203,-119.681564,63636,0.158,0.25,0.11,0.12,0.27,0.12,0.13,0.059
Colorado,340,7,5456574,39.059811,-105.311104,66596,0.123,0.24,0.09,0.15,0.25,0.13,0.14,0.04
Connecticut,860,1.97,3590886,41.597782,-72.755371,72889,0.086,0.23,0.08,0.13,0.26,0.14,0.16,0.052
Delaware,950,0.27,945934,39.318523,-75.507141,57756,0.19,0.22,0.09,0.12,0.27,0.13,0.16,0.049
District of Columbia,350,5,672228,38.897438,-77.026817,70071,0.11,0.18,0.11,0.22,0.26,0.09,0.13,0.067
Florida,710,7.9,20271272,27.766279,-81.686783,48825,0.167,0.22,0.09,0.11,0.26,0.13,0.19,0.052
Georgia,820,4.53,10214860,33.040619,-83.643074,50768,0.168,0.26,0.1,0.13,0.28,0.11,0.13,0.058
Hawaii,760,7.6,1431603,21.094318,-157.498337,64514,0.108,0.24,0.09,0.14,0.24,0.13,0.17,0.034
Idaho,790,6,1654930,44.240459,-114.478828,51624,0.124,0.27,0.09,0.12,0.24,0.12,0.15,0.042
Illinois,750,4,12859995,40.349457,-88.986137,60413,0.137,0.25,0.08,0.13,0.26,0.14,0.15,0.054
Indiana,610,3.91,6619680,39.849426,-86.258278,51983,0.146,0.26,0.09,0.12,0.26,0.13,0.16,0.044
Iowa,"1,050",6.81,3123899,42.011539,-93.210526,60855,0.103,0.25,0.09,0.13,0.24,0.14,0.16,0.036
Kansas,830,7.72,2911641,38.5266,-96.726486,54865,0.121,0.28,0.09,0.11,0.26,0.12,0.14,0.044
Kentucky,840,7.76,4425092,37.66814,-84.670067,42387,0.2,0.25,0.09,0.11,0.26,0.13,0.16,0.05
Louisiana,910,5,4670724,31.169546,-91.867805,45922,0.231,0.26,0.09,0.13,0.25,0.14,0.13,0.06
Maine,780,5.13,1329328,44.693947,-69.381927,50756,0.146,0.2,0.07,0.11,0.29,0.14,0.21,0.044
Maryland,790,3.93,6006401,39.063946,-76.802101,73594,0.099,0.24,0.1,0.13,0.27,0.13,0.13,0.051
Massachusetts,820,3.73,6794422,42.230171,-71.530106,67861,0.136,0.21,0.11,0.14,0.25,0.14,0.15,0.046
Michigan,870,8.05,9922576,43.326618,-84.536095,54203,0.148,0.23,0.11,0.1,0.26,0.14,0.17,0.05
Minnesota,870,7.78,5489594,45.694454,-93.900192,68730,0.083,0.25,0.07,0.12,0.27,0.13,0.16,0.038
Mississippi,680,2.71,2992333,32.741646,-89.678696,40037,0.221,0.26,0.09,0.11,0.27,0.13,0.14,0.061
Missouri,830,5.82,6083672,38.456085,-92.288368,59196,0.104,0.25,0.07,0.13,0.26,0.13,0.15,0.053
Montana,"1,120",12,1032949,46.921925,-110.454353,51395,0.12,0.24,0.1,0.12,0.23,0.14,0.18,0.041
Nebraska,"1,000",8.75,1896190,41.12537,-98.268082,60474,0.118,0.28,0.09,0.12,0.24,0.13,0.14,0.029
Nevada,500,6,2890845,38.313515,-117.055374,52008,0.17,0.25,0.09,0.13,0.27,0.13,0.14,0.067
New Hampshire,830,2,1330608,43.452492,-71.563896,75675,0.072,0.22,0.1,0.1,0.26,0.16,0.16,0.034
New Jersey,690,1.82,8958013,40.298904,-74.521011,68357,0.113,0.24,0.09,0.12,0.27,0.13,0.15,0.056
New Mexico,770,6,2085109,34.840515,-106.248482,45119,0.2,0.26,0.1,0.11,0.24,0.12,0.17,0.068
New York,570,7.98,19795791,42.165726,-74.948051,58005,0.14,0.23,0.1,0.13,0.25,0.13,0.16,0.051
North Carolina,670,8.85,10042802,35.630066,-79.806419,50797,0.171,0.24,0.1,0.12,0.26,0.14,0.14,0.058
North Dakota,"1,080",7,756927,47.528912,-99.784012,57415,0.097,0.24,0.12,0.14,0.23,0.11,0.15,0.028
Ohio,910,4.17,11613423,40.388783,-82.764915,53301,0.156,0.24,0.1,0.12,0.25,0.15,0.15,0.045
Oklahoma,860,8.71,3911338,35.565342,-96.928917,47077,0.173,0.26,0.09,0.13,0.25,0.13,0.14,0.044
Oregon,770,7.85,4028977,44.572021,-122.070938,60834,0.144,0.23,0.09,0.12,0.26,0.14,0.15,0.062
Pennsylvania,760,5.88,12802503,40.590752,-77.209755,60389,0.125,0.23,0.1,0.11,0.25,0.14,0.17,0.053
Rhode Island,730,-0.27,1056298,41.680893,-71.51178,55701,0.113,0.22,0.1,0.1,0.28,0.15,0.16,0.054
South Carolina,770,4.9,4896146,33.856892,-80.945007,46360,0.165,0.24,0.08,0.12,0.26,0.13,0.17,0.057
South Dakota,950,6.02,858469,44.299782,-99.438828,55065,0.128,0.26,0.1,0.12,0.23,0.13,0.16,0.035
Tennessee,840,8.91,6600299,35.747845,-86.692345,47330,0.173,0.24,0.09,0.13,0.25,0.14,0.16,0.057
Texas,720,13.07,27469114,31.054487,-97.563461,56473,0.164,0.28,0.11,0.13,0.25,0.12,0.12,0.042
Utah,870,5,2995919,40.150032,-111.862434,66258,0.102,0.32,0.1,0.14,0.24,0.09,0.11,0.036
Vermont,910,1.98,626042,44.045876,-72.710686,59494,0.093,0.22,0.09,0.11,0.26,0.16,0.17,0.037
Virginia,840,8.24,8382993,37.769337,-78.169968,61486,0.102,0.24,0.08,0.13,0.28,0.13,0.14,0.043
Washington,870,7.91,7170351,47.400902,-121.490494,67243,0.12,0.24,0.08,0.13,0.26,0.12,0.16,0.052
West Virginia,750,5,1844128,38.491226,-80.954453,42824,0.206,0.23,0.08,0.1,0.25,0.14,0.19,0.073
Wisconsin,860,86.05,5771337,44.268543,-89.616508,55425,0.109,0.24,0.11,0.11,0.24,0.14,0.15,0.043
Wyoming,"1,140",7,586107,42.755966,-107.30249,60925,0.097,0.27,0.1,0.1,0.25,0.14,0.15,0.04
